ulCarrierFreq,timestamp,id,frame,slot,pci,dlCarrierFreq,_id.$oid,avgLdpcIterations,rnti,ulBytes,pmi,rsrp,cqi,pucchSnr,rssi,ueId,inSync,dlBytes,dlMcs,ulMcs,ulBler,ri,pcmax,puschSnr,dlBler,phr,rsrq,sinr
3750240000.0,2025-05-22 14:15:00.840000+00:00,12345678.0,336.0,18.0,0.0,3750240000.0,682f3164be193f091d614637,4.2,5874,1413322.0,"(10,1)",-84.0,15.0,17.0,80.5,88,1.0,414588.0,9.0,9.0,1.3e-05,2.0,24.0,10.5,8.6e-05,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:00.840000+00:00,12345678.0,336.0,18.0,0.0,3750240000.0,682f3164be193f091d614637,4.2,d7dc,1298984.0,"(5,0)",-87.0,10.0,17.0,77.3,89,1.0,292584.0,5.0,8.0,0.053134,3.0,22.0,15.5,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:00.840000+00:00,12345678.0,336.0,18.0,0.0,3750240000.0,682f3164be193f091d614637,4.2,d29e,989292.0,"(14,0)",-86.0,15.0,16.0,75.8,90,1.0,291784.0,9.0,6.0,0.0,2.0,24.0,18.0,0.000436,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:00.840000+00:00,12345678.0,336.0,18.0,0.0,3750240000.0,682f3164be193f091d614637,4.2,d817,1296445.0,"(13,0)",-80.0,15.0,13.0,84.9,91,1.0,3304445.0,0.0,9.0,0.0,2.0,25.0,21.0,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:00.840000+00:00,12345678.0,336.0,18.0,0.0,3750240000.0,682f3164be193f091d614637,4.2,6018,535141.0,"(15,1)",-85.0,15.0,17.0,81.3,92,1.0,104734.0,3.0,6.0,0.032786,2.0,25.0,18.0,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:01.840000+00:00,12345678.0,436.0,18.0,0.0,3750240000.0,682f3165be193f091d614638,5.0,5874,1417584.0,"(10,1)",-84.0,15.0,17.0,80.6,88,1.0,415430.0,9.0,9.0,5e-06,2.0,24.0,18.5,7e-05,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:01.840000+00:00,12345678.0,436.0,18.0,0.0,3750240000.0,682f3165be193f091d614638,5.0,d7dc,1302629.0,"(5,1)",-87.0,10.0,16.0,79.2,89,1.0,294033.0,5.0,8.0,0.088098,3.0,22.0,10.0,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:01.840000+00:00,12345678.0,436.0,18.0,0.0,3750240000.0,682f3165be193f091d614638,5.0,d29e,992236.0,"(14,0)",-86.0,15.0,16.0,76.1,90,1.0,292658.0,9.0,6.0,0.0,2.0,24.0,9.0,0.000353,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:01.840000+00:00,12345678.0,436.0,18.0,0.0,3750240000.0,682f3165be193f091d614638,5.0,d817,1300641.0,"(13,0)",-80.0,15.0,13.0,84.0,91,1.0,3304487.0,0.0,9.0,0.0,2.0,25.0,10.5,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:01.840000+00:00,12345678.0,436.0,18.0,0.0,3750240000.0,682f3165be193f091d614638,5.0,6018,537848.0,"(15,1)",-85.0,15.0,17.0,82.6,92,1.0,105024.0,3.0,6.0,0.248042,2.0,25.0,13.5,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:02.840000+00:00,12345678.0,536.0,18.0,0.0,3750240000.0,682f3166be193f091d614639,4.4,5874,1421576.0,"(10,1)",-84.0,15.0,16.0,80.6,88,1.0,417178.0,9.0,9.0,2e-06,2.0,24.0,10.5,5.1e-05,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:15:02.840000+00:00,12345678.0,536.0,18.0,0.0,3750240000.0,682f3166be193f091d614639,4.4,d7dc,1306162.0,"(5,0)",-87.0,10.0,16.0,78.0,89,1.0,295854.0,5.0,8.0,0.093127,3.0,22.0,16.5,0.0,52.0,-10.5,23.5
