ulCarrierFreq,timestamp,id,frame,slot,pci,dlCarrierFreq,_id.$oid,avgLdpcIterations,rnti,ulBytes,pmi,rsrp,cqi,pucchSnr,rssi,ueId,inSync,dlBytes,dlMcs,ulMcs,ulBler,ri,pcmax,puschSnr,dlBler,phr,rsrq,sinr
3750240000.0,2025-05-22 14:45:00.840000+00:00,12345678.0,112.0,14.0,0.0,3750240000.0,682f386cbe193f091d614d3f,4.1,d817,5882620.0,"(15,1)",-81.0,15.0,18.0,82.1,91,1.0,4399892.0,6.0,6.0,0.015747,2.0,24.0,7.5,0.369824,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:00.840000+00:00,12345678.0,112.0,14.0,0.0,3750240000.0,682f386cbe193f091d614d3f,4.1,297f,2782786.0,"(13,1)",-84.0,15.0,21.0,83.1,88,1.0,864429.0,6.0,6.0,0.005307,2.0,24.0,20.0,0.1724,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:00.840000+00:00,12345678.0,112.0,14.0,0.0,3750240000.0,682f386cbe193f091d614d3f,4.1,7681,949323.0,"(11,1)",-85.0,15.0,19.0,83.2,92,1.0,307055.0,6.0,6.0,0.042428,2.0,24.0,20.0,0.154205,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:00.840000+00:00,12345678.0,112.0,14.0,0.0,3750240000.0,682f386cbe193f091d614d3f,4.1,43b0,934048.0,"(4,1)",-87.0,8.0,18.0,80.6,89,1.0,730519.0,6.0,6.0,0.148884,4.0,22.0,20.0,0.040724,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:00.840000+00:00,12345678.0,112.0,14.0,0.0,3750240000.0,682f386cbe193f091d614d3f,4.1,e000,868132.0,"(15,0)",-86.0,15.0,21.0,76.7,90,1.0,120874.0,1.0,6.0,0.003778,2.0,24.0,6.5,0.243849,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:01.840000+00:00,12345678.0,212.0,14.0,0.0,3750240000.0,682f386dbe193f091d614d40,6.4,d817,5885295.0,"(15,1)",-81.0,15.0,18.0,85.4,91,1.0,4400510.0,6.0,6.0,0.006101,2.0,24.0,22.0,0.299557,58.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:01.840000+00:00,12345678.0,212.0,14.0,0.0,3750240000.0,682f386dbe193f091d614d40,6.4,297f,2785223.0,"(15,1)",-84.0,15.0,21.0,84.4,88,1.0,865047.0,6.0,6.0,0.171899,2.0,24.0,21.0,0.139644,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:01.840000+00:00,12345678.0,212.0,14.0,0.0,3750240000.0,682f386dbe193f091d614d40,6.4,7681,951428.0,"(11,1)",-85.0,15.0,17.0,82.4,92,1.0,307673.0,6.0,6.0,0.210877,2.0,24.0,6.0,0.138785,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:01.840000+00:00,12345678.0,212.0,14.0,0.0,3750240000.0,682f386dbe193f091d614d40,6.4,43b0,936432.0,"(5,0)",-87.0,11.0,12.0,84.0,89,1.0,732170.0,6.0,6.0,0.166917,3.0,22.0,21.5,0.110688,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:01.840000+00:00,12345678.0,212.0,14.0,0.0,3750240000.0,682f386dbe193f091d614d40,6.4,e000,870696.0,"(1,1)",-86.0,6.0,19.0,79.2,90,1.0,121006.0,1.0,6.0,0.001317,1.0,25.0,21.5,0.297518,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:02.840000+00:00,12345678.0,312.0,14.0,0.0,3750240000.0,682f386ebe193f091d614d41,5.8,d817,5887558.0,"(15,1)",-81.0,15.0,20.0,82.3,91,1.0,4401096.0,6.0,6.0,0.19041,2.0,24.0,19.5,0.242641,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:02.840000+00:00,12345678.0,312.0,14.0,0.0,3750240000.0,682f386ebe193f091d614d41,5.8,297f,2787692.0,"(15,1)",-84.0,15.0,24.0,90.7,88,1.0,865665.0,6.0,6.0,0.111597,2.0,25.0,26.5,0.213112,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:02.840000+00:00,12345678.0,312.0,14.0,0.0,3750240000.0,682f386ebe193f091d614d41,5.8,7681,953565.0,"(11,1)",-85.0,15.0,16.0,79.5,92,1.0,308259.0,6.0,6.0,0.262698,2.0,24.0,5.5,0.124906,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:02.840000+00:00,12345678.0,312.0,14.0,0.0,3750240000.0,682f386ebe193f091d614d41,5.8,43b0,938964.0,"(4,0)",-87.0,10.0,20.0,77.4,89,1.0,733539.0,6.0,6.0,0.187167,3.0,22.0,3.5,0.161691,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:02.840000+00:00,12345678.0,312.0,14.0,0.0,3750240000.0,682f386ebe193f091d614d41,5.8,e000,871976.0,"(14,0)",-86.0,15.0,18.0,76.3,90,1.0,121109.0,1.0,6.0,0.13051,2.0,25.0,17.5,0.24099,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:03.840000+00:00,12345678.0,412.0,14.0,0.0,3750240000.0,682f386fbe193f091d614d42,7.9,d817,5890058.0,"(15,1)",-81.0,15.0,19.0,84.8,91,1.0,4401714.0,6.0,6.0,0.234878,2.0,24.0,22.0,0.286539,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:03.840000+00:00,12345678.0,412.0,14.0,0.0,3750240000.0,682f386fbe193f091d614d42,7.9,297f,2790192.0,"(15,1)",-84.0,15.0,3.0,86.0,88,1.0,866283.0,6.0,6.0,0.084489,2.0,24.0,13.0,0.262621,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:03.840000+00:00,12345678.0,412.0,14.0,0.0,3750240000.0,682f386fbe193f091d614d42,7.9,7681,955307.0,"(11,1)",-85.0,15.0,17.0,76.7,92,1.0,308877.0,6.0,6.0,0.607476,2.0,25.0,13.0,0.162416,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:03.840000+00:00,12345678.0,412.0,14.0,0.0,3750240000.0,682f386fbe193f091d614d42,7.9,43b0,941290.0,"(4,0)",-87.0,10.0,19.0,77.6,89,1.0,735190.0,6.0,6.0,0.330848,3.0,22.0,16.5,0.117873,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:03.840000+00:00,12345678.0,412.0,14.0,0.0,3750240000.0,682f386fbe193f091d614d42,7.9,e000,874382.0,"(14,0)",-86.0,2.0,17.0,73.1,90,1.0,121241.0,1.0,6.0,0.17965,2.0,24.0,15.0,0.195202,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:04.840000+00:00,12345678.0,512.0,14.0,0.0,3750240000.0,682f3870be193f091d614d43,8.9,d817,5892178.0,"(15,1)",-81.0,15.0,18.0,83.2,91,1.0,4402300.0,6.0,6.0,0.351227,2.0,24.0,20.5,0.322097,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:04.840000+00:00,12345678.0,512.0,14.0,0.0,3750240000.0,682f3870be193f091d614d43,8.9,297f,2792249.0,"(13,1)",-84.0,15.0,25.0,86.0,88,1.0,866901.0,6.0,6.0,0.391873,2.0,24.0,4.0,0.212723,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:04.840000+00:00,12345678.0,512.0,14.0,0.0,3750240000.0,682f3870be193f091d614d43,8.9,7681,956510.0,"(11,1)",-85.0,15.0,17.0,75.6,92,1.0,309495.0,6.0,6.0,0.708131,2.0,24.0,12.5,0.196174,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:04.840000+00:00,12345678.0,512.0,14.0,0.0,3750240000.0,682f3870be193f091d614d43,8.9,43b0,943189.0,"(4,0)",-87.0,10.0,17.0,79.0,89,1.0,735999.0,6.0,6.0,0.567051,3.0,22.0,46.5,0.095477,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:04.840000+00:00,12345678.0,512.0,14.0,0.0,3750240000.0,682f3870be193f091d614d43,8.9,e000,876788.0,"(15,0)",-86.0,15.0,19.0,74.5,90,1.0,121379.0,1.0,6.0,0.454871,2.0,24.0,17.0,0.158113,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:05.840000+00:00,12345678.0,612.0,14.0,0.0,3750240000.0,682f3871be193f091d614d44,8.4,d817,5894615.0,"(15,1)",-81.0,15.0,18.0,81.2,91,1.0,4402918.0,6.0,6.0,0.519656,2.0,24.0,18.5,0.360898,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:05.840000+00:00,12345678.0,612.0,14.0,0.0,3750240000.0,682f3871be193f091d614d44,8.4,297f,2794939.0,"(13,1)",-84.0,15.0,24.0,89.0,88,1.0,867519.0,6.0,6.0,0.339726,2.0,25.0,26.0,0.172305,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:05.840000+00:00,12345678.0,612.0,14.0,0.0,3750240000.0,682f3871be193f091d614d44,8.4,7681,958014.0,"(8,1)",-85.0,15.0,17.0,79.4,92,1.0,310113.0,6.0,6.0,0.886924,2.0,25.0,16.0,0.176557,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:05.840000+00:00,12345678.0,612.0,14.0,0.0,3750240000.0,682f3871be193f091d614d44,8.4,43b0,945659.0,"(4,0)",-87.0,11.0,21.0,75.9,89,1.0,739440.0,6.0,6.0,0.469712,3.0,22.0,13.5,0.156378,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:05.840000+00:00,12345678.0,612.0,14.0,0.0,3750240000.0,682f3871be193f091d614d44,8.4,e000,879163.0,"(8,1)",-86.0,5.0,17.0,75.2,90,1.0,121517.0,1.0,6.0,0.417695,2.0,24.0,8.5,0.228072,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:06.840000+00:00,12345678.0,712.0,14.0,0.0,3750240000.0,682f3872be193f091d614d45,7.2,d817,5896990.0,"(13,1)",-81.0,15.0,23.0,81.7,91,1.0,4403536.0,6.0,6.0,0.525765,2.0,24.0,19.5,0.392328,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:06.840000+00:00,12345678.0,712.0,14.0,0.0,3750240000.0,682f3872be193f091d614d45,7.2,297f,2797170.0,"(13,1)",-84.0,15.0,24.0,82.9,88,1.0,868105.0,6.0,6.0,0.361666,2.0,24.0,9.0,0.139567,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:06.840000+00:00,12345678.0,712.0,14.0,0.0,3750240000.0,682f3872be193f091d614d45,7.2,7681,960595.0,"(11,1)",-85.0,15.0,16.0,84.6,92,1.0,310731.0,6.0,6.0,0.623963,2.0,24.0,5.0,0.158901,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:06.840000+00:00,12345678.0,712.0,14.0,0.0,3750240000.0,682f3872be193f091d614d45,7.2,43b0,948533.0,"(4,0)",-87.0,11.0,18.0,83.6,89,1.0,741512.0,6.0,6.0,0.25933,3.0,23.0,4.5,0.126666,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:06.840000+00:00,12345678.0,712.0,14.0,0.0,3750240000.0,682f3872be193f091d614d45,7.2,e000,881569.0,"(14,1)",-86.0,15.0,18.0,83.3,90,1.0,121655.0,1.0,6.0,0.445613,2.0,24.0,21.0,0.184738,52.0,-10.5,23.5
3750240000.0,2025-05-22 14:45:07.840000+00:00,12345678.0,812.0,14.0,0.0,3750240000.0,682f3873be193f091d614d46,5.2,d817,5899396.0,"(15,1)",-81.0,15.0,7.0,83.2,91,1.0,4404154.0,6.0,6.0,0.458566,2.0,24.0,20.0,0.407786,52.0,-10.5,23.5
