ulCarrierFreq,timestamp,id,frame,slot,pci,dlCarrierFreq,_id.$oid,avgLdpcIterations,rnti,ulBytes,pmi,rsrp,cqi,pucchSnr,rssi,ueId,inSync,dlBytes,dlMcs,ulMcs,ulBler,ri,pcmax,puschSnr,dlBler,phr,rsrq,sinr
3750240000.0,2025-05-22 16:10:00.840000+00:00,12345678.0,160.0,13.0,0.0,3750240000.0,682f4c58be193f091d61612b,7.9,3860,14162300.0,"(11,1)",-79.0,15.0,16.0,72.4,97,1.0,4073420.0,9.0,6.0,2.7e-05,2.0,24.0,18.5,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:00.840000+00:00,12345678.0,160.0,13.0,0.0,3750240000.0,682f4c58be193f091d61612b,7.9,7ce1,13649327.0,"(4,1)",-86.0,8.0,17.0,78.6,96,1.0,10381636.0,9.0,6.0,0.083386,4.0,22.0,17.5,0.001317,52.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:00.840000+00:00,12345678.0,160.0,13.0,0.0,3750240000.0,682f4c58be193f091d61612b,7.9,5e08,3816084.0,"(12,1)",-86.0,15.0,13.0,78.0,95,1.0,1171191.0,9.0,6.0,1.0,2.0,24.0,20.0,0.0,59.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:00.840000+00:00,12345678.0,160.0,13.0,0.0,3750240000.0,682f4c58be193f091d61612b,7.9,4220,3186077.0,"(15,1)",-102.0,15.0,14.0,80.6,99,1.0,935959.0,9.0,6.0,1.0,2.0,24.0,18.0,0.0,52.0,-10.5,19.0
3750240000.0,2025-05-22 16:10:00.840000+00:00,12345678.0,160.0,13.0,0.0,3750240000.0,682f4c58be193f091d61612b,7.9,09ea,439561.0,"(6,0)",-93.0,13.0,16.0,68.0,94,1.0,147451.0,6.0,6.0,1.0,2.0,24.0,14.5,0.174915,52.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:01.840000+00:00,12345678.0,260.0,13.0,0.0,3750240000.0,682f4c59be193f091d61612c,8.1,3860,14165276.0,"(11,1)",-79.0,15.0,16.0,72.0,97,1.0,4074294.0,9.0,6.0,9e-06,2.0,24.0,47.0,0.0,52.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:01.840000+00:00,12345678.0,260.0,13.0,0.0,3750240000.0,682f4c59be193f091d61612c,8.1,7ce1,13652303.0,"(4,1)",-86.0,8.0,16.0,78.4,96,1.0,10383140.0,9.0,6.0,0.029075,4.0,22.0,47.0,0.001067,52.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:01.840000+00:00,12345678.0,260.0,13.0,0.0,3750240000.0,682f4c59be193f091d61612c,8.1,5e08,3818997.0,"(12,1)",-86.0,15.0,13.0,76.7,95,1.0,1172065.0,9.0,6.0,1.0,2.0,24.0,18.5,0.0,58.0,-10.5,23.5
3750240000.0,2025-05-22 16:10:01.840000+00:00,12345678.0,260.0,13.0,0.0,3750240000.0,682f4c59be193f091d61612c,8.1,4220,3188990.0,"(13,1)",-101.0,15.0,13.0,79.7,99,1.0,936801.0,9.0,6.0,1.0,2.0,25.0,16.0,0.0,52.0,-11.0,18.0
3750240000.0,2025-05-22 16:10:01.840000+00:00,12345678.0,260.0,13.0,0.0,3750240000.0,682f4c59be193f091d61612c,8.1,09ea,442205.0,"(6,0)",-93.0,12.0,16.0,70.4,94,1.0,148069.0,6.0,6.0,1.0,2.0,24.0,18.0,0.241681,52.0,-10.5,20.5
