ulCarrierFreq,timestamp,id,frame,slot,pci,dlCarrierFreq,_id.$oid,avgLdpcIterations,rnti,ulBytes,pmi,rsrp,cqi,pucchSnr,rssi,ueId,inSync,dlBytes,dlMcs,ulMcs,ulBler,ri,pcmax,puschSnr,dlBler,phr,rsrq,sinr
3750240000.0,2025-05-23 10:15:00.924000+00:00,12345678.0,131.0,9.0,0.0,3750240000.0,68304aa4be193f091d6179f4,8.2,30be,5844556.0,"(7,1)",-83.0,10.0,16.0,79.8,137,1.0,2523986.0,6.0,6.0,0.026061,3.0,22.0,18.5,0.172424,52.0,-11.0,18.0
3750240000.0,2025-05-23 10:15:00.924000+00:00,12345678.0,131.0,9.0,0.0,3750240000.0,68304aa4be193f091d6179f4,8.2,23b3,5182743.0,"(14,0)",-94.0,12.0,15.0,78.2,141,1.0,943704.0,0.0,6.0,1.0,2.0,24.0,17.5,0.012206,52.0,-11.0,17.0
3750240000.0,2025-05-23 10:15:00.924000+00:00,12345678.0,131.0,9.0,0.0,3750240000.0,68304aa4be193f091d6179f4,8.2,308f,1797417.0,"(2,1)",-129.0,6.0,22.0,62.0,142,1.0,1730473.0,1.0,6.0,1.0,1.0,24.0,3.0,1.0,26.0,-18.5,-7.0
3750240000.0,2025-05-23 10:15:00.924000+00:00,12345678.0,131.0,9.0,0.0,3750240000.0,68304aa4be193f091d6179f4,8.2,6695,3118288.0,"(15,0)",-109.0,7.0,16.0,81.5,138,1.0,1787015.0,6.0,6.0,0.952326,2.0,24.0,16.5,0.158849,32.0,-11.0,11.5
3750240000.0,2025-05-23 10:15:00.924000+00:00,12345678.0,131.0,9.0,0.0,3750240000.0,68304aa4be193f091d6179f4,8.2,7acd,2144046.0,"(6,3)",-130.0,8.0,3.0,62.0,143,1.0,222678.0,5.0,6.0,1.0,1.0,25.0,1.0,1.0,28.0,-19.5,-8.0
3750240000.0,2025-05-23 10:15:01.924000+00:00,12345678.0,231.0,9.0,0.0,3750240000.0,68304aa5be193f091d6179f5,8.4,30be,5847263.0,"(6,1)",-83.0,11.0,17.0,76.6,137,1.0,2524795.0,6.0,6.0,0.157926,3.0,22.0,16.0,0.139663,52.0,-11.0,18.5
3750240000.0,2025-05-23 10:15:01.924000+00:00,12345678.0,231.0,9.0,0.0,3750240000.0,68304aa5be193f091d6179f5,8.4,23b3,5185387.0,"(14,0)",-94.0,12.0,16.0,77.5,141,1.0,943788.0,0.0,6.0,1.0,2.0,24.0,22.5,0.009887,52.0,-11.0,15.5
3750240000.0,2025-05-23 10:15:01.924000+00:00,12345678.0,231.0,9.0,0.0,3750240000.0,68304aa5be193f091d6179f5,8.4,308f,1799063.0,"(3,2)",-129.0,8.0,22.0,65.0,142,1.0,1732163.0,1.0,6.0,1.0,1.0,24.0,2.5,1.0,26.0,-18.5,-7.0
3750240000.0,2025-05-23 10:15:01.924000+00:00,12345678.0,231.0,9.0,0.0,3750240000.0,68304aa5be193f091d6179f5,8.4,6695,3120820.0,"(15,0)",-110.0,7.0,16.0,79.2,138,1.0,1787942.0,6.0,6.0,0.956948,2.0,25.0,14.0,0.115801,40.0,-11.0,11.0
3750240000.0,2025-05-23 10:15:01.924000+00:00,12345678.0,231.0,9.0,0.0,3750240000.0,68304aa5be193f091d6179f5,8.4,7acd,2144885.0,"(6,3)",-130.0,8.0,3.0,62.0,143,1.0,222811.0,5.0,6.0,1.0,1.0,25.0,3.5,1.0,28.0,-19.5,-8.0
3750240000.0,2025-05-23 10:15:02.924000+00:00,12345678.0,331.0,9.0,0.0,3750240000.0,68304aa6be193f091d6179f6,8.2,30be,5849700.0,"(6,1)",-83.0,8.0,16.0,79.0,137,1.0,2525637.0,6.0,6.0,0.136176,4.0,22.0,19.0,0.113127,52.0,-11.0,17.5
3750240000.0,2025-05-23 10:15:02.924000+00:00,12345678.0,331.0,9.0,0.0,3750240000.0,68304aa6be193f091d6179f6,8.2,23b3,5187618.0,"(14,0)",-95.0,12.0,16.0,78.9,141,1.0,943872.0,0.0,6.0,1.0,2.0,24.0,18.0,0.008008,52.0,-11.0,16.0
3750240000.0,2025-05-23 10:15:02.924000+00:00,12345678.0,331.0,9.0,0.0,3750240000.0,68304aa6be193f091d6179f6,8.2,308f,1799759.0,"(3,2)",-129.0,8.0,22.0,66.7,142,1.0,1733845.0,1.0,6.0,1.0,1.0,24.0,8.0,1.0,26.0,-18.5,-7.0
3750240000.0,2025-05-23 10:15:02.924000+00:00,12345678.0,331.0,9.0,0.0,3750240000.0,68304aa6be193f091d6179f6,8.2,6695,3124094.0,"(15,0)",-110.0,7.0,17.0,82.4,138,1.0,1791396.0,6.0,6.0,0.901725,2.0,24.0,46.5,0.084419,32.0,-11.0,10.5
3750240000.0,2025-05-23 10:15:02.924000+00:00,12345678.0,331.0,9.0,0.0,3750240000.0,68304aa6be193f091d6179f6,8.2,7acd,2145280.0,"(6,3)",-130.0,8.0,3.0,65.0,143,1.0,222944.0,5.0,6.0,1.0,1.0,25.0,31.0,1.0,28.0,-19.5,-8.0
3750240000.0,2025-05-23 10:15:03.924000+00:00,12345678.0,431.0,9.0,0.0,3750240000.0,68304aa7be193f091d6179f7,8.7,30be,5852438.0,"(6,1)",-83.0,8.0,16.0,78.5,137,1.0,2526701.0,6.0,6.0,0.052757,4.0,22.0,18.5,0.091633,52.0,-11.0,16.5
3750240000.0,2025-05-23 10:15:03.924000+00:00,12345678.0,431.0,9.0,0.0,3750240000.0,68304aa7be193f091d6179f7,8.7,23b3,5190293.0,"(14,0)",-94.0,12.0,16.0,78.9,141,1.0,943956.0,0.0,6.0,1.0,2.0,24.0,22.0,0.006487,52.0,-11.0,17.5
3750240000.0,2025-05-23 10:15:03.924000+00:00,12345678.0,431.0,9.0,0.0,3750240000.0,68304aa7be193f091d6179f7,8.7,308f,1800899.0,"(3,2)",-129.0,8.0,21.0,62.0,142,1.0,1735535.0,1.0,6.0,1.0,1.0,24.0,3.0,1.0,26.0,-18.5,-7.0
3750240000.0,2025-05-23 10:15:03.924000+00:00,12345678.0,431.0,9.0,0.0,3750240000.0,68304aa7be193f091d6179f7,8.7,6695,3126420.0,"(15,0)",-110.0,7.0,16.0,80.5,138,1.0,1792632.0,6.0,6.0,0.939471,2.0,24.0,11.0,0.061541,38.0,-11.0,11.0
3750240000.0,2025-05-23 10:15:03.924000+00:00,12345678.0,431.0,9.0,0.0,3750240000.0,68304aa7be193f091d6179f7,8.7,7acd,2146119.0,"(6,3)",-130.0,8.0,3.0,62.0,143,1.0,223077.0,5.0,6.0,1.0,1.0,25.0,1.5,1.0,28.0,-19.5,-8.0
3750240000.0,2025-05-23 10:15:04.924000+00:00,12345678.0,531.0,9.0,0.0,3750240000.0,68304aa8be193f091d6179f8,8.0,30be,5855176.0,"(7,1)",-83.0,11.0,16.0,77.4,137,1.0,2527821.0,6.0,6.0,0.093339,3.0,22.0,17.5,0.074223,52.0,-11.0,17.0
3750240000.0,2025-05-23 10:15:04.924000+00:00,12345678.0,531.0,9.0,0.0,3750240000.0,68304aa8be193f091d6179f8,8.0,23b3,5193206.0,"(14,0)",-95.0,12.0,16.0,77.7,141,1.0,944040.0,0.0,6.0,1.0,2.0,24.0,17.5,0.005254,59.0,-11.0,16.5
3750240000.0,2025-05-23 10:15:04.924000+00:00,12345678.0,531.0,9.0,0.0,3750240000.0,68304aa8be193f091d6179f8,8.0,308f,1802577.0,"(3,2)",-129.0,8.0,21.0,62.0,142,1.0,1737149.0,1.0,6.0,1.0,1.0,24.0,2.5,1.0,26.0,-18.5,-7.0
3750240000.0,2025-05-23 10:15:04.924000+00:00,12345678.0,531.0,9.0,0.0,3750240000.0,68304aa8be193f091d6179f8,8.0,6695,3129095.0,"(15,0)",-110.0,7.0,16.0,81.2,138,1.0,1793868.0,6.0,6.0,0.97655,2.0,24.0,15.5,0.144864,38.0,-11.0,11.0
3750240000.0,2025-05-23 10:15:04.924000+00:00,12345678.0,531.0,9.0,0.0,3750240000.0,68304aa8be193f091d6179f8,8.0,7acd,2147227.0,"(6,3)",-130.0,8.0,3.0,62.0,143,1.0,223210.0,5.0,6.0,1.0,1.0,25.0,3.0,1.0,28.0,-19.5,-8.0
3750240000.0,2025-05-23 10:15:05.924000+00:00,12345678.0,631.0,9.0,0.0,3750240000.0,68304aa9be193f091d6179f9,8.1,30be,5857851.0,"(7,1)",-83.0,11.0,16.0,76.7,137,1.0,2528746.0,6.0,6.0,0.117162,3.0,22.0,12.0,0.06012,52.0,-11.0,18.5
3750240000.0,2025-05-23 10:15:05.924000+00:00,12345678.0,631.0,9.0,0.0,3750240000.0,68304aa9be193f091d6179f9,8.1,23b3,5195850.0,"(14,0)",-95.0,12.0,15.0,76.9,141,1.0,944124.0,0.0,6.0,1.0,2.0,24.0,15.5,0.004256,52.0,-11.0,16.5
3750240000.0,2025-05-23 10:15:05.924000+00:00,12345678.0,631.0,9.0,0.0,3750240000.0,68304aa9be193f091d6179f9,8.1,308f,1803147.0,"(3,2)",-129.0,8.0,21.0,62.0,142,1.0,1738835.0,1.0,6.0,1.0,1.0,24.0,1.0,1.0,26.0,-18.5,-7.0
3750240000.0,2025-05-23 10:15:05.924000+00:00,12345678.0,631.0,9.0,0.0,3750240000.0,68304aa9be193f091d6179f9,8.1,6695,3131690.0,"(15,0)",-110.0,7.0,17.0,82.9,138,1.0,1794763.0,6.0,6.0,0.890915,2.0,24.0,18.0,0.105606,32.0,-11.0,10.5
3750240000.0,2025-05-23 10:15:05.924000+00:00,12345678.0,631.0,9.0,0.0,3750240000.0,68304aa9be193f091d6179f9,8.1,7acd,2148636.0,"(6,3)",-130.0,8.0,3.0,62.0,143,1.0,223343.0,5.0,6.0,1.0,1.0,25.0,1.0,1.0,28.0,-19.5,-8.0
