dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ueId,predicted_anomaly,anomaly_score,authentication_status
4535.0,6.0,0.240359,13105.0,6.0,0.135602,1.0,20.0,24.0,-15.5,-2.0,-122.0,86.0,9.0,30.0,24.5,15.0,-1,-0.044812863963828775,rejected
5147.0,6.0,0.446222,15763.0,6.0,0.052535,1.0,25.0,25.0,-16.0,-2.5,-123.0,84.0,8.0,24.0,21.5,15.0,-1,-0.051349230568739856,rejected
5606.0,6.0,0.596296,18532.0,6.0,0.020353,1.0,27.0,24.0,-15.5,-2.5,-123.0,81.5,7.0,17.0,8.5,15.0,-1,-0.03523998060705502,rejected
6206.0,6.0,0.7057,21127.0,6.0,0.079097,1.0,28.0,24.0,-14.5,-1.0,-121.0,80.6,7.0,14.0,6.0,15.0,-1,-0.03421346987808738,rejected
6665.0,6.0,0.761617,24747.0,7.0,0.034049,1.0,27.0,25.0,-15.5,-2.0,-122.0,82.0,7.0,15.0,18.0,15.0,-1,-0.056750029614986985,rejected
6971.0,6.0,0.70691,28282.0,7.0,0.011872,1.0,26.0,24.0,-16.0,-2.5,-123.0,81.8,7.0,14.0,18.5,15.0,-1,-0.06511931537141291,rejected
7277.0,6.0,0.672597,31199.0,6.0,0.143755,1.0,27.0,24.0,-15.5,-1.5,-123.0,81.3,7.0,19.0,9.5,15.0,-1,-0.03858561693298512,rejected
7571.0,6.0,0.734803,34301.0,6.0,0.055693,1.0,26.0,24.0,-16.0,-3.0,-123.0,82.9,7.0,15.0,11.5,15.0,-1,-0.050846103888765426,rejected
7571.0,6.0,0.734803,35172.0,6.0,0.040601,1.0,25.0,24.0,-16.0,-3.0,-123.0,83.7,7.0,15.0,20.0,15.0,-1,-0.058684796179572896,rejected
2605.0,9.0,0.112222,4188.0,9.0,0.0729,1.0,20.0,25.0,-14.5,-1.5,-122.0,89.0,9.0,31.0,27.0,17.0,-1,-0.0775562137787954,rejected
4862.0,6.0,0.31231,10933.0,9.0,0.080957,1.0,32.0,24.0,-14.0,0.0,-120.0,77.4,8.0,17.0,14.0,17.0,-1,-0.030112245859280518,rejected
