avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
4.1;3768.0;-11,1;-82.0;15.0;21.0;95.0;210;1.0;2958.0;9.0;10.0;0.0430470000;2.0;24.0;30.0;0.0729000000;52.0;-10.5;23.5
4.5;8921.0;-11,1;-82.0;15.0;27.0;86.0;210;1.0;4747.0;9.0;9.0;0.0150090000;2.0;24.0;16.5;0.0590490000;52.0;-10.5;22.5
4.3;13420.0;-13,1;-81.0;15.0;24.0;85.7;210;1.0;5621.0;9.0;9.0;0.0058150000;2.0;25.0;21.5;0.0478300000;52.0;-10.5;23.5
4.5;18274.0;-15,1;-81.0;15.0;27.0;79.7;210;1.0;6495.0;9.0;9.0;0.1020280000;2.0;25.0;6.0;0.0387420000;52.0;-10.5;23.5
4.7;22916.0;-11,1;-80.0;15.0;24.0;81.4;210;1.0;7369.0;9.0;6.0;0.2213610000;2.0;24.0;16.0;0.0313810000;52.0;-10.5;19.0
4.6;26368.0;-15,1;-78.0;15.0;20.0;82.4;210;1.0;8680.0;9.0;6.0;0.1176460000;2.0;25.0;16.5;0.0254190000;52.0;-10.5;23.5
4.2;29788.0;-11,1;-77.0;15.0;18.0;83.3;210;1.0;9554.0;9.0;6.0;0.0410210000;2.0;24.0;10.5;0.0205890000;52.0;-10.5;23.5
4.7;33240.0;-9,1;-78.0;15.0;18.0;83.8;210;1.0;10428.0;9.0;6.0;0.0143030000;2.0;24.0;18.0;0.0166770000;52.0;-10.5;23.5
4.9;36423.0;-11,1;-80.0;15.0;21.0;84.3;210;1.0;11302.0;9.0;6.0;0.2944590000;2.0;24.0;18.0;0.0135090000;52.0;-10.5;23.5
4.2;40144.0;-11,1;-82.0;15.0;16.0;85.0;210;1.0;12613.0;9.0;6.0;0.1140800000;2.0;25.0;18.5;0.0098480000;52.0;-10.5;23.5
4.5;43295.0;-11,1;-82.0;15.0;21.0;83.7;210;1.0;13487.0;9.0;6.0;0.0441970000;2.0;25.0;15.5;0.0079770000;52.0;-10.5;23.5
4.2;46715.0;-9;-81.0;15.0;18.0;82.3;210;1.0;14361.0;9.0;6.0;0.0883100000;2.0;24.0;10.5;0.0064610000;52.0;-10.5;23.5
4.6;50199.0;-11;-78.0;15.0;15.0;82.2;210;1.0;15235.0;9.0;6.0;0.2943750000;2.0;24.0;16.0;0.0052330000;52.0;-10.5;23.5
5.2;58224.0;-11,1;-78.0;15.0;10.0;82.3;210;1.0;20016.0;10.0;6.0;0.1570940000;2.0;25.0;6.0;0.0038150000;52.0;-10.5;23.5
4.2;61676.0;-11,1;-78.0;15.0;15.0;84.0;210;1.0;20890.0;9.0;6.0;0.0547750000;2.0;25.0;18.5;0.0030900000;52.0;-10.5;23.5
4.9;64827.0;-13,1;-78.0;15.0;15.0;81.2;210;1.0;21764.0;9.0;6.0;0.0212210000;2.0;24.0;16.5;0.0025030000;52.0;-10.5;23.5
4.8;68343.0;-11,1;-78.0;15.0;16.0;82.1;210;1.0;22638.0;9.0;6.0;0.1292690000;2.0;24.0;16.0;0.0020280000;52.0;-10.5;23.5
4.5;71654.0;-11,1;-79.0;15.0;19.0;81.4;210;1.0;23512.0;9.0;6.0;0.0450730000;2.0;24.0;15.0;0.0016420000;52.0;-10.5;23.5
4.6;75170.0;-11,1;-78.0;15.0;13.0;79.4;210;1.0;24386.0;9.0;6.0;0.1364460000;2.0;24.0;8.5;0.0013300000;52.0;-10.5;23.5
4.5;78622.0;-11,1;-78.0;15.0;13.0;82.4;210;1.0;25260.0;9.0;6.0;0.1592180000;2.0;24.0;16.0;0.0010780000;52.0;-10.5;23.5
4.8;81837.0;-11,1;-79.0;15.0;17.0;80.1;210;1.0;26134.0;9.0;6.0;0.0859840000;2.0;24.0;15.0;0.0008730000;52.0;-10.5;23.5
4.7;85148.0;-9,1;-80.0;15.0;17.0;81.4;210;1.0;27008.0;9.0;6.0;0.1109810000;2.0;24.0;15.5;0.0007070000;52.0;-10.5;23.5
5.4;88395.0;-11,1;-79.0;15.0;16.0;86.0;210;1.0;27882.0;9.0;6.0;0.0751470000;2.0;24.0;20.0;0.0005730000;52.0;-10.5;23.5
4.5;91815.0;-11,1;-79.0;15.0;14.0;84.2;210;1.0;28756.0;9.0;6.0;0.0262020000;2.0;24.0;8.0;0.0004640000;52.0;-10.5;23.5
4.7;95267.0;-11,1;-79.0;15.0;18.0;85.6;210;1.0;29358.0;9.0;6.0;0.0334360000;2.0;24.0;18.5;0.0003760000;52.0;-10.5;23.5
4.6;98418.0;-11,1;-79.0;15.0;18.0;82.5;210;1.0;30232.0;9.0;6.0;0.0129540000;2.0;24.0;16.5;0.0003040000;52.0;-10.5;23.5
4.1;101838.0;-11,1;-81.0;15.0;16.0;83.3;210;1.0;31106.0;9.0;6.0;0.0045170000;2.0;24.0;8.0;0.0002470000;52.0;-10.5;23.5
5.1;105290.0;-11,1;-80.0;15.0;16.0;81.0;210;1.0;31980.0;9.0;6.0;0.1506240000;2.0;24.0;15.0;0.0002000000;52.0;-10.5;23.5
5.6;108601.0;-11,1;-77.0;15.0;17.0;81.4;210;1.0;32854.0;9.0;6.0;0.3563750000;2.0;24.0;16.0;0.0001620000;52.0;-10.5;23.5
5.2;112149.0;-13,1;-77.0;15.0;17.0;79.5;210;1.0;33728.0;9.0;6.0;0.1971600000;2.0;24.0;14.5;0.0001310000;52.0;-10.5;23.5
5.2;114762.0;-11,1;-77.0;15.0;18.0;84.0;210;1.0;34602.0;9.0;6.0;0.4999430000;2.0;24.0;25.0;0.0001060000;52.0;-10.5;23.5
5.1;117977.0;-11,1;-79.0;15.0;18.0;83.5;210;1.0;35476.0;9.0;6.0;0.5441720000;2.0;24.0;24.5;0.0000860000;52.0;-10.5;23.5
4.8;121128.0;-9,1;-78.0;15.0;13.0;82.7;210;1.0;36350.0;9.0;6.0;0.3469340000;2.0;24.0;17.0;0.0000700000;52.0;-10.5;23.5
4.9;124311.0;-11,1;-77.0;15.0;13.0;83.2;210;1.0;37224.0;9.0;6.0;0.3568450000;2.0;24.0;17.0;0.0000560000;52.0;-10.5;23.5
4.8;127622.0;-11,1;-77.0;15.0;15.0;84.0;210;1.0;38098.0;9.0;6.0;0.5039570000;2.0;24.0;17.5;0.0000460000;52.0;-10.5;23.5
4.6;130901.0;-15,1;-80.0;15.0;15.0;81.8;210;1.0;38972.0;9.0;6.0;0.2716230000;2.0;24.0;16.0;0.0000370000;52.0;-10.5;23.5
4.6;134353.0;-13,1;-82.0;15.0;12.0;80.4;210;1.0;39846.0;9.0;6.0;0.1280420000;2.0;24.0;15.5;0.0000300000;52.0;-10.5;23.5
5.2;137664.0;-11,1;-81.0;15.0;14.0;81.2;210;1.0;40720.0;9.0;6.0;0.0446460000;2.0;24.0;16.5;0.0000240000;52.0;-10.5;23.5
4.1;141244.0;-11,1;-81.0;15.0;15.0;82.7;210;1.0;41594.0;9.0;6.0;0.0155670000;2.0;24.0;25.0;0.0000200000;52.0;-10.5;23.5
4.6;144696.0;-13,1;-80.0;15.0;12.0;84.8;210;1.0;42468.0;9.0;6.0;0.0585720000;2.0;24.0;18.5;0.0000160000;52.0;-10.5;23.5
5.2;147847.0;-11,1;-80.0;15.0;11.0;82.9;210;1.0;43342.0;9.0;6.0;0.0226920000;2.0;24.0;18.0;0.0000130000;52.0;-10.5;23.5
4.7;151158.0;-9,1;-80.0;15.0;10.0;83.5;210;1.0;44216.0;9.0;6.0;0.0208260000;2.0;24.0;18.0;0.0000100000;52.0;-10.5;23.5
4.9;154469.0;-9,1;-80.0;15.0;15.0;78.4;210;1.0;45090.0;9.0;6.0;0.2219210000;2.0;25.0;14.0;0.0000080000;52.0;-10.5;23.5
4.9;157889.0;-15,1;-82.0;15.0;16.0;85.8;210;1.0;45964.0;9.0;6.0;0.1397970000;2.0;24.0;15.0;0.0000070000;52.0;-10.5;23.5
4.6;161040.0;-13,1;-85.0;15.0;20.0;83.3;210;1.0;46838.0;9.0;6.0;0.0487440000;2.0;24.0;17.0;0.0000060000;52.0;-10.5;23.5
4.8;164050.0;-13,1;-87.0;15.0;15.0;82.1;210;1.0;47712.0;9.0;6.0;0.0363670000;2.0;24.0;16.5;0.0000060000;52.0;-10.5;23.5
4.9;167060.0;-13,1;-87.0;15.0;17.0;80.6;210;1.0;48149.0;9.0;6.0;0.0717290000;2.0;25.0;15.5;0.0000060000;52.0;-10.5;23.5
4.7;170640.0;-13,1;-85.0;15.0;14.0;80.3;210;1.0;49023.0;9.0;6.0;0.2830290000;2.0;24.0;15.0;0.0000050000;52.0;-10.5;23.5
4.7;173951.0;-11;-83.0;15.0;16.0;79.0;210;1.0;49897.0;9.0;6.0;0.0986860000;2.0;24.0;15.5;0.0000040000;52.0;-10.5;23.5
4.9;177403.0;-11,1;-82.0;15.0;17.0;81.6;210;1.0;50771.0;9.0;6.0;0.0487590000;2.0;24.0;9.5;0.0000040000;52.0;-10.5;23.5
4.5;180855.0;-13,1;-82.0;15.0;16.0;80.5;210;1.0;51645.0;9.0;6.0;0.0170010000;2.0;25.0;16.5;0.0000040000;52.0;-10.5;23.5
4.8;184006.0;-9,1;-83.0;15.0;16.0;81.4;210;1.0;52519.0;9.0;6.0;0.0065870000;2.0;24.0;18.5;0.0000030000;52.0;-10.5;23.5
5.0;187426.0;-11;-81.0;15.0;16.0;83.2;210;1.0;53393.0;9.0;6.0;0.0022970000;2.0;25.0;11.0;0.0000030000;52.0;-10.5;23.5
4.7;190577.0;-4;-83.0;15.0;14.0;89.0;210;1.0;54267.0;9.0;6.0;0.0247160000;2.0;25.0;24.0;0.0000020000;52.0;-10.5;23.5
4.2;193997.0;-11,1;-83.0;15.0;15.0;84.3;210;1.0;55141.0;9.0;6.0;0.0086180000;2.0;25.0;7.0;0.0000020000;52.0;-10.5;23.5
5.1;197449.0;-13,1;-80.0;15.0;17.0;85.2;210;1.0;56015.0;9.0;6.0;0.0840050000;2.0;24.0;18.5;0.0000020000;52.0;-10.5;23.5
4.8;200600.0;-9,1;-77.0;15.0;12.0;81.3;210;1.0;56889.0;9.0;6.0;0.1225450000;2.0;24.0;15.0;0.0000010000;52.0;-10.5;23.5
