avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.0;4885.0;-4.1;-78.0;11.0;32.0;93.7;245;1.0;2504.0;9.0;6.0;0.2845320000;4.0;22.0;29.0;0.0729000000;52.0;-10.5;23.5
3.0;8305.0;-4.1;-78.0;11.0;30.0;85.9;245;1.0;4072.0;9.0;6.0;0.0992100000;4.0;22.0;12.0;0.0590490000;52.0;-10.5;23.5
3.0;11757.0;-4.1;-78.0;11.0;28.0;82.8;245;1.0;5640.0;9.0;6.0;0.0345920000;4.0;22.0;18.0;0.0478300000;52.0;-10.5;23.5
3.0;14607.0;-4.1;-78.0;11.0;28.0;84.1;245;1.0;6424.0;9.0;6.0;0.0249760000;4.0;23.0;19.5;0.0430470000;52.0;-10.5;23.5
3.1;17758.0;-4.1;-78.0;11.0;25.0;84.2;245;1.0;7992.0;9.0;6.0;0.0096760000;4.0;22.0;19.5;0.0348680000;52.0;-10.5;23.5
3.0;21178.0;-4.1;-78.0;11.0;23.0;83.1;245;1.0;10344.0;9.0;6.0;0.0177230000;4.0;22.0;10.5;0.0254190000;52.0;-10.5;23.5
3.0;24630.0;-4.1;-78.0;11.0;21.0;84.0;245;1.0;11912.0;9.0;6.0;0.0061800000;4.0;22.0;19.0;0.0205890000;52.0;-10.5;23.5
3.0;28050.0;-4.1;-78.0;11.0;19.0;84.1;245;1.0;13480.0;9.0;6.0;0.0021550000;4.0;22.0;11.5;0.0166770000;52.0;-10.5;23.5
3.0;31502.0;-4.1;-78.0;11.0;18.0;84.3;245;1.0;15048.0;9.0;6.0;0.0007510000;4.0;22.0;19.0;0.0135090000;52.0;-10.5;23.5
3.0;34653.0;-4.1;-78.0;11.0;18.0;84.0;245;1.0;16616.0;9.0;6.0;0.0002910000;4.0;23.0;19.0;0.0109420000;52.0;-10.5;23.5
3.0;38374.0;-4.1;-78.0;11.0;18.0;84.6;245;1.0;18968.0;9.0;6.0;0.0001130000;4.0;23.0;19.5;0.0088630000;52.0;-10.5;23.5
3.0;42127.0;-4.1;-78.0;11.0;18.0;84.1;245;1.0;21320.0;9.0;6.0;0.0000440000;4.0;22.0;19.0;0.0071790000;52.0;-10.5;23.5
3.2;45848.0;-4.1;-78.0;11.0;18.0;85.2;245;1.0;23672.0;9.0;6.0;0.0000170000;4.0;22.0;20.5;0.0058150000;52.0;-10.5;23.5
3.0;51394.0;-4.1;-78.0;11.0;18.0;83.2;245;1.0;26024.0;9.0;7.0;0.0000070000;4.0;22.0;18.0;0.0047100000;52.0;-10.5;23.5
3.0;54897.0;-4.1;-78.0;11.0;18.0;83.8;245;1.0;27592.0;9.0;7.0;0.0000020000;4.0;23.0;18.0;0.0038150000;52.0;-10.5;23.5
3.0;58701.0;-4.1;-78.0;11.0;17.0;83.1;245;1.0;29160.0;9.0;7.0;0.0000010000;4.0;23.0;9.5;0.0030900000;52.0;-10.5;23.5
3.0;62537.0;-4.1;-78.0;11.0;18.0;83.9;245;1.0;30728.0;9.0;7.0;0.0000000000;4.0;23.0;19.5;0.0025030000;52.0;-10.5;23.5
3.2;66911.0;-4.1;-78.0;11.0;17.0;82.9;245;1.0;33080.0;9.0;8.0;0.0118100000;4.0;22.0;8.0;0.0020280000;52.0;-10.5;23.5
3.0;71220.0;-4.1;-78.0;11.0;17.0;83.6;245;1.0;34648.0;9.0;8.0;0.0041180000;4.0;23.0;19.0;0.0016420000;52.0;-10.5;23.5
3.1;75157.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;36216.0;9.0;8.0;0.0015950000;4.0;23.0;19.0;0.0013300000;52.0;-10.5;23.5
3.0;79435.0;-4.1;-78.0;11.0;17.0;82.9;245;1.0;37784.0;9.0;8.0;0.0005560000;4.0;23.0;9.0;0.0010780000;52.0;-10.5;23.5
3.1;83744.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;39352.0;9.0;8.0;0.0001940000;4.0;23.0;19.0;0.0008730000;52.0;-10.5;23.5
3.0;88022.0;-4.1;-78.0;11.0;17.0;83.0;245;1.0;40920.0;9.0;8.0;0.0000680000;4.0;23.0;9.5;0.0007070000;52.0;-10.5;23.5
3.0;92331.0;-4.1;-78.0;11.0;17.0;83.9;245;1.0;42488.0;9.0;8.0;0.0000240000;4.0;23.0;19.0;0.0005730000;52.0;-10.5;23.5
3.0;96268.0;-4.1;-78.0;11.0;17.0;83.7;245;1.0;44056.0;9.0;8.0;0.0000090000;4.0;23.0;19.5;0.0004640000;52.0;-10.5;23.5
3.0;100546.0;-4.1;-78.0;11.0;17.0;82.8;245;1.0;45624.0;9.0;8.0;0.0000030000;4.0;23.0;8.5;0.0003760000;52.0;-10.5;23.5
3.0;104855.0;-4.1;-78.0;11.0;17.0;83.9;245;1.0;47192.0;9.0;8.0;0.0000010000;4.0;23.0;19.0;0.0003040000;52.0;-10.5;23.5
3.2;109133.0;-4.1;-78.0;11.0;17.0;82.7;245;1.0;48760.0;9.0;8.0;0.0218700000;4.0;23.0;9.0;0.0002470000;52.0;-10.5;23.5
3.0;113814.0;-4.1;-78.0;11.0;17.0;83.7;245;1.0;51896.0;9.0;8.0;0.0076260000;4.0;23.0;19.0;0.0001800000;52.0;-10.5;23.5
3.2;117751.0;-4.1;-78.0;11.0;17.0;83.9;245;1.0;53464.0;9.0;8.0;0.0272540000;4.0;23.0;19.0;0.0001460000;52.0;-10.5;23.5
3.0;122029.0;-4.1;-78.0;11.0;17.0;83.0;245;1.0;55032.0;9.0;8.0;0.0095030000;4.0;23.0;9.0;0.0001180000;52.0;-10.5;23.5
3.1;126338.0;-4.1;-78.0;11.0;17.0;83.8;245;1.0;57384.0;9.0;8.0;0.0036820000;4.0;23.0;18.5;0.0000860000;52.0;-10.5;23.5
3.0;130616.0;-4.1;-78.0;11.0;17.0;82.7;245;1.0;58952.0;9.0;8.0;0.0012840000;4.0;23.0;9.0;0.0000700000;52.0;-10.5;23.5
3.1;134925.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;60520.0;9.0;8.0;0.0004480000;4.0;23.0;19.0;0.0000560000;52.0;-10.5;23.5
3.0;138862.0;-4.1;-78.0;11.0;16.0;83.9;245;1.0;62088.0;9.0;8.0;0.0001730000;4.0;23.0;19.0;0.0000460000;52.0;-10.5;23.5
3.1;143140.0;-4.1;-78.0;11.0;17.0;83.0;245;1.0;63656.0;9.0;8.0;0.0000600000;4.0;23.0;9.0;0.0000370000;52.0;-10.5;23.5
3.0;147449.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;65224.0;9.0;8.0;0.0000210000;4.0;23.0;18.5;0.0000300000;52.0;-10.5;23.5
3.0;151727.0;-4.1;-78.0;11.0;17.0;83.0;245;1.0;67576.0;9.0;8.0;0.0000080000;4.0;23.0;9.0;0.0000220000;52.0;-10.5;23.5
3.0;156036.0;-4.1;-78.0;11.0;17.0;83.9;245;1.0;69144.0;9.0;8.0;0.0000030000;4.0;23.0;18.5;0.0000180000;52.0;-10.5;23.5
3.0;159973.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;70712.0;9.0;8.0;0.0000010000;4.0;23.0;19.0;0.0000140000;52.0;-10.5;23.5
3.0;164251.0;-4.1;-78.0;11.0;17.0;82.8;245;1.0;72280.0;9.0;8.0;0.0000000000;4.0;23.0;9.0;0.0000120000;52.0;-10.5;23.5
3.0;168560.0;-4.1;-78.0;11.0;17.0;83.1;245;1.0;73848.0;9.0;8.0;0.0000000000;4.0;23.0;18.0;0.0000090000;52.0;-10.5;23.5
3.1;172838.0;-4.1;-78.0;11.0;16.0;83.2;245;1.0;75416.0;9.0;8.0;0.0000000000;4.0;23.0;9.0;0.0000080000;52.0;-10.5;23.5
3.1;177147.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;76984.0;9.0;8.0;0.0000000000;4.0;23.0;19.5;0.0000080000;52.0;-10.5;23.5
3.0;181084.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;78552.0;9.0;8.0;0.0000000000;4.0;23.0;19.0;0.0000070000;52.0;-10.5;23.5
3.2;185362.0;-4.1;-78.0;11.0;17.0;83.1;245;1.0;80120.0;9.0;8.0;0.0000000000;4.0;23.0;9.0;0.0000060000;52.0;-10.5;23.5
3.0;189671.0;-4.1;-78.0;11.0;17.0;83.0;245;1.0;81688.0;9.0;8.0;0.0000000000;4.0;22.0;18.5;0.0000060000;52.0;-10.5;23.5
3.1;193949.0;-4.1;-78.0;11.0;17.0;82.1;245;1.0;83256.0;9.0;8.0;0.0000000000;4.0;22.0;9.5;0.0000050000;52.0;-10.5;23.5
3.2;198258.0;-4.1;-78.0;11.0;17.0;84.0;245;1.0;84824.0;9.0;8.0;0.0900000000;4.0;22.0;19.0;0.0000040000;52.0;-10.5;23.5
3.0;202195.0;-4.1;-78.0;11.0;17.0;82.9;245;1.0;87176.0;9.0;8.0;0.0348680000;4.0;22.0;18.0;0.0000040000;52.0;-10.5;23.5
3.0;206473.0;-4.1;-78.0;11.0;17.0;83.0;245;1.0;88744.0;9.0;8.0;0.0121580000;4.0;22.0;10.5;0.0000030000;52.0;-10.5;23.5
3.2;211185.0;-4.1;-78.0;11.0;16.0;82.2;245;1.0;91096.0;9.0;8.0;0.1047100000;4.0;22.0;17.0;0.0000030000;52.0;-10.5;23.5
3.0;215835.0;-4.1;-78.0;11.0;16.0;83.1;245;1.0;93448.0;9.0;8.0;0.0365100000;4.0;22.0;11.0;0.0000020000;52.0;-10.5;23.5
3.0;220516.0;-4.1;-78.0;11.0;17.0;83.3;245;1.0;95800.0;9.0;8.0;0.0127300000;4.0;22.0;17.5;0.0000020000;52.0;-10.5;23.5
3.0;224081.0;-4.1;-78.0;11.0;17.0;84.1;245;1.0;97368.0;9.0;8.0;0.0049320000;4.0;22.0;19.0;0.0000020000;52.0;-10.5;23.5
3.2;228731.0;-4.1;-78.0;11.0;17.0;82.3;245;1.0;99720.0;9.0;8.0;0.0350530000;4.0;22.0;7.0;0.0000010000;52.0;-10.5;23.5
3.0;233412.0;-4.1;-78.0;11.0;17.0;83.1;245;1.0;102072.0;9.0;8.0;0.0135800000;4.0;22.0;17.5;0.0000010000;52.0;-10.5;23.5
