ueId,rnti,inSync,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,id,frame,slot,pci,dlCarrierFreq,ulCarrierFreq,avgLdpcIterations,timestamp
1,6a3d,1,1765,8,0.175043,2136,9,0.0729,1,"(0,0)",52,24,,,-87,81.3,12,16,15.5,12345678,606,3,0,3750240000,3750240000,3.0,1744627680676
1,6a3d,1,2636,3,0.213106,3427,6,0.510088,1,"(0,3)",59,24,-10.5,23.5,-76,85.3,3,24,20.5,12345678,706,3,0,3750240000,3750240000,11.9,1744627681676
1,6a3d,1,2678,0,0.172616,4598,6,0.789109,1,"(0,3)",52,24,-10.5,23.5,-75,81.6,15,24,16.5,12345678,806,3,0,3750240000,3750240000,11.9,1744627682676
1,6a3d,1,3267,0,0.125837,6687,6,0.885491,2,"(0,0)",59,24,-10.5,23.5,-75,82.5,6,29,18.5,12345678,906,3,0,3750240000,3750240000,10.7,1744627683676
1,6a3d,1,6120,0,0.082687,7652,6,0.950708,1,"(0,0)",52,24,-10.5,23.5,-75,81.2,3,16,17.5,12345678,1006,3,0,3750240000,3750240000,12.5,1744627684676
1,6a3d,1,6333,0,0.066977,8950,6,0.978781,2,"(0,1)",59,24,-10.5,23.5,-76,83.0,10,3,18.0,12345678,82,3,0,3750240000,3750240000,12.4,1744627685676
1,6a3d,1,6396,0,0.054251,9884,6,0.99178,1,"(0,1)",59,24,-10.5,23.5,-75,78.3,1,18,13.0,12345678,182,3,0,3750240000,3750240000,12.7,1744627686676
1,6a3d,1,6459,0,0.043944,10517,6,0.996461,1,"(0,1)",52,24,-10.5,23.5,-75,83.0,1,19,17.5,12345678,282,3,0,3750240000,3750240000,12.9,1744627687676
1,6a3d,1,6501,0,0.035594,11182,6,0.998629,1,"(0,3)",59,24,-10.5,23.5,-75,83.2,3,16,18.0,12345678,382,3,0,3750240000,3750240000,12.8,1744627688676
1,6a3d,1,6569,0,0.028831,11245,6,0.999469,1,"(0,2)",52,24,-10.5,23.5,-75,81.5,15,16,16.5,12345678,482,3,0,3750240000,3750240000,12.4,1744627689676
0,9490,1,246,9,0.1,164,9,0.1,1,"(0,3)",52,24,,,-63,84.6,15,24,19.5,12345678,482,3,0,3750240000,3750240000,12.4,1744627689676
1,6a3d,1,6653,0,0.023353,12274,6,0.999746,1,"(0,3)",59,24,-10.5,23.5,-75,82.8,11,18,17.0,12345678,582,3,0,3750240000,3750240000,9.6,1744627690676
