ueId,rnti,inSync,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,id,frame,slot,pci,dlCarrierFreq,ulCarrierFreq,avgLdpcIterations,timestamp
0,c601,1,401,9,0.1,460,9,0.081,1,"(0,0)",48,22,,,-83,100.7,15,40,33.5,12345678,275,19,0,3750240000,3750240000,3.0,1740770808131
17,c601,1,2001,9,0.081,4746,6,0.345216,1,"(0,0)",52,22,-11,12.5,-89,96.4,15,40,29.0,12345678,375,19,0,3750240000,3750240000,4.1,1740770809131
17,c601,1,2419,9,0.0729,6087,6,0.385365,1,"(0,0)",52,22,-11,12,-89,86.0,15,40,21.5,12345678,475,19,0,3750240000,3750240000,3.0,1740770810131
17,c601,1,2853,9,0.059049,7545,6,0.432009,1,"(0,0)",52,22,-11,12,-89,82.7,15,37,15.0,12345678,575,19,0,3750240000,3750240000,3.0,1740770811131
17,c601,1,3271,9,0.04783,9035,6,0.483814,1,"(0,0)",52,22,-11,12,-89,83.6,15,38,17.5,12345678,675,19,0,3750240000,3750240000,3.0,1740770812131
17,c601,1,3705,9,0.038742,10493,6,0.451406,1,"(0,0)",52,22,-11,12,-89,82.7,15,33,15.5,12345678,775,19,0,3750240000,3750240000,3.0,1740770813131
17,c601,1,4123,9,0.031381,11983,6,0.490577,1,"(0,0)",52,22,-11,12,-89,82.7,15,31,16.5,12345678,875,19,0,3750240000,3750240000,3.0,1740770814131
17,c601,1,4557,9,0.025419,13308,6,0.453764,1,"(0,0)",52,22,-11,11.5,-89,82.6,15,30,16.0,12345678,975,19,0,3750240000,3750240000,3.0,1740770815131
17,c601,1,4975,9,0.020589,14782,6,0.434888,1,"(0,0)",52,22,-11,12,-89,81.8,15,27,14.0,12345678,51,19,0,3750240000,3750240000,3.0,1740770816131
17,c601,1,5409,9,0.016677,16256,6,0.504501,1,"(0,0)",52,22,-11,12,-89,82.8,15,25,16.0,12345678,151,19,0,3750240000,3750240000,3.0,1740770817131
