UE_id,CQI,PMI,RI,SignalStrengthDiff,,PhaseImbalanceDiff,ClockDiff,,TimeStep
1,10,0,1,-43.0741398957714,-34.7909167868555,-0.297887703002268,10289900,13064900,0
1,10,0,1,-43.5334889511947,-34.9066745727592,-0.376980027372266,1109900,3209900,1
1,10,0,1,-44.0567851601278,-35.1730297899077,-0.451591718858594,4769900,5504900,2
1,10,0,1,-44.6633495683534,-35.5264282312609,-0.528356444348454,14624900,10919900,3
1,10,0,1,-45.2813571795183,-35.9935372986986,-0.592093498951366,3239900,11849900,4
1,10,0,1,-45.8521881590043,-36.555858495544,-0.643324458216113,8264900,494900,5
1,10,0,1,-46.3001982271329,-37.1837428604487,-0.666237771472058,6029900,629900,6
1,10,0,1,-46.6328327865802,-37.8305009588568,-0.647762944193485,11774900,14159900,7
1,10,0,1,-46.7908324018329,-38.396627311595,-0.566385312078396,3344900,4844900,8
1,10,0,1,-46.7196929552098,-38.8635285218979,-0.420610823758503,13304900,1559900,9
1,10,0,1,-46.5699598965798,-39.0976518837238,-0.206919071382397,8039900,15284900,10
1,10,0,1,-46.2808635799288,-39.0969442817943,-0.0188107048190631,5024900,779900,11
1,10,0,1,-45.9566920346066,-38.8855665236564,0.121974511052157,3104900,5369900,12
1,10,0,1,-45.6545655894865,-38.5682205177354,0.189250003547957,10649900,569900,13
1,10,0,1,-45.3505307471154,-38.2123956557931,0.208168802200173,15239900,4559900,14
1,10,0,1,-45.0723047383844,-37.8731014729483,0.178000333601795,9764900,11189900,15
1,10,0,1,-44.8150036933777,-37.6207485758847,0.132991320628402,2054900,2984900,16
1,10,0,1,-44.5941810916683,-37.4778885633613,0.0560367086143366,13874900,1424900,17
1,10,0,1,-44.4381930390734,-37.4377783877742,-0.0395601265415922,7994900,2069900,18
1,10,0,1,-44.2790223236613,-37.5119030548305,-0.157078603845599,884900,1874900,19
1,10,0,1,-44.1943217507337,-37.7137640466494,-0.2981247212852,1154900,11759900,20
1,10,0,1,-44.1202737710104,-38.0182150834309,-0.457690655366658,13919900,15179900,21
1,10,0,1,-44.0940331950835,-38.3578191863755,-0.627055229414742,7769900,15029900,22
