UE_id,CQI,PMI,RI,SignalStrengthDiff,,PhaseImbalanceDiff,ClockDiff,,TimeStep
1,9.75,0.16,0.15,-43.0767567574865,-34.7786185172902,-0.294462369119131,10289900,13064900,0
1,9.27,0.68,0.36,-43.521226945997,-34.9052259758998,-0.377275707145214,1109900,3209900,1
1,10.72,0.75,0.92,-44.0823014887196,-35.1642503010023,-0.453818629693231,4769900,5504900,2
1,10.85,0.84,1.22,-44.6957314819337,-35.5344167906256,-0.528798917052296,14624900,10514900,3
1,9.06,-0.81,1.63,-45.2724062607976,-36.0046388791643,-0.591626823730285,1469900,11849900,4
1,9.91,0.27,1.7,-45.8445198265787,-36.5547610916399,-0.638047963169961,8264900,494900,5
1,9.48,-0.79,1.23,-46.3037419129272,-37.1815588274944,-0.660212975122736,1139900,629900,6
1,10.89,-0.29,1.2,-46.6873123201295,-37.8423733340516,-0.64053935854075,11774900,14159900,7
1,9.05,-0.9,0.86,-46.7886995517769,-38.4085953838295,-0.564498805055371,3344900,3194900,8
1,9.1,-0.05,0.18,-46.7052747223019,-38.84526053254,-0.41907142337335,13304900,1559900,9
1,9.46,-0.79,0.63,-46.5667675017973,-39.1067839305527,-0.211561974766472,8039900,15284900,10
1,10.14,0.39,0.95,-46.2635374016099,-39.1087060116727,-0.0125055533257182,29900,4274900,11
1,10.25,-0.1,0.66,-45.9696603608549,-38.8918698370534,0.12252781522259,7244900,5369900,12
1,9.58,0.78,0.81,-45.6540413835184,-38.5735380982068,0.19171250623081,9959900,569900,13
1,10.27,-0.13,0.98,-45.3736070961355,-38.2122042622493,0.202185837795273,15239900,4559900,14
1,9.86,-0.08,1.19,-45.1030533285695,-37.8813130362511,0.184677006896301,9764900,12269900,15
1,10.25,-0.98,1.2,-44.7978380506247,-37.6256534479945,0.133739725309663,8144900,2984900,16
1,10.07,-0.01,1.26,-44.6250711943636,-37.4609616288475,0.0573835796752949,13874900,10949900,17
1,10.54,-0.15,0.75,-44.4073180869657,-37.422497529558,-0.0390027122434653,9269900,2069900,18
1,9.1,0.76,1.73,-44.2955519066194,-37.5066950595643,-0.157849012945365,869900,10304900,19
1,10.05,-0.7,0.49,-44.1658757501927,-37.7194106400896,-0.296376941575708,1154900,5969900,20
1,9.57,-0.16,0.31,-44.1049622213531,-38.033992478895,-0.458984856844767,13919900,1739900,21
1,9.4,0.58,0.44,-44.079705884352,-38.3710638440825,-0.626211761656153,14579900,15029900,22
1,9.21,-0.2,0.34,-44.1221410245246,-38.7406948512518,-0.792155302948643,14354900,9824900,23
1,10.79,-0.68,1.78,-44.130928581772,-39.0623917677193,-0.912049520820742,74900,614900,24
1,9.66,0.65,1.56,-44.2572179189264,-39.2340997314653,-0.979455840851908,12119900,1844900,25
1,9.75,0.65,0.19,-44.4012421608239,-39.2388260576419,-0.987327273230131,11729900,9689900,26
1,10.78,-0.07,1.61,-44.5443826910718,-38.9968458089212,-0.936283229796135,12509900,10139900,27
1,10,-0.66,1.82,-44.7121535801921,-38.5651739352874,-0.81029716353685,6989900,3479900,28
1,9.1,0.99,0.49,-44.8757402759505,-37.9906451276379,-0.662242790655377,4124900,11384900,29
1,9.96,0.02,0.78,-45.0508858614317,-37.4223338891363,-0.522898254543803,8669900,8564900,30
1,9.2,-0.17,1.35,-45.1732633219766,-36.8691977847687,-0.393718257568577,2804900,9509900,31
1,10.75,-0.24,0.25,-45.2632549887785,-36.4127710540337,-0.297629002908067,2714900,11099900,32
1,9.59,-0.6,0.97,-45.2127303537612,-36.0626469936416,-0.228844547704279,8459900,434900,33
1,9.36,-0.98,0.13,-45.1466049145639,-35.8251387357993,-0.165894919716633,15239900,13664900,34
1,10.35,-0.5,0.13,-44.9667668847111,-35.7252169894462,-0.130937477946043,1784900,6074900,35
1,10.23,-0.4,1.79,-44.77901188535,-35.763793720848,-0.099200125832415,3944900,9044900,36
1,10.86,-0.99,0.78,-44.5494563604888,-35.9564996954949,-0.0753672101616626,5609900,13364900,37
1,9.28,-1,0.28,-44.3493351814653,-36.3233958195055,-0.0518123226436185,10184900,3029900,38
1,9.98,-0.75,0.41,-44.1351166410036,-36.8570146222468,-0.032068479915681,1694900,9314900,39
1,9.43,-0.87,0.39,-43.9739691127577,-37.6025112631983,-0.00786990992873798,13529900,13169900,40
1,9.61,-0.17,1.06,-43.8585228223219,-38.5508567735569,0.0211551202444388,12254900,1679900,41
1,10.17,0.51,1.9,-43.8344388713283,-39.7284761385909,0.0678897811421859,6239900,6674900,42
1,10.44,-0.68,0.08,-43.8770906476476,-41.2260855993241,0.124335967018255,3329900,13604900,43
1,10.56,-0.31,0.34,-44.0391870881344,-43.005782082111,0.186881978843916,2459900,5564900,44
1,10.56,0.67,1.95,-44.2736232745462,-45.0199781959891,0.238460533650951,5144900,15149900,45
1,10.56,-0.78,0.49,-44.588222050888,-46.8319014793329,0.271353547099599,4709900,7289900,46
1,9.85,0.9,1.85,-44.9056684588684,-47.5762025572345,0.221823611301639,3059900,6329900,47
1,10.53,-0.36,0.64,-45.329571126844,-46.7415240897614,0.0953734077273317,9179900,5174900,48
1,10.19,-0.17,1.48,-45.726263291833,-45.1260676838231,-0.0512954128670932,6809900,8489900,49
1,9.09,0.25,1.63,-46.0838965538659,-43.5491428149307,-0.165596179671502,9014900,9134900,50
1,9.42,0.12,1.39,-46.341828793928,-42.2808114724375,-0.250401758470228,9119900,9434900,51
1,9.05,-0.18,1.12,-46.341973707405,-41.3243454535191,-0.311209661465718,7184900,4514900,52
1,9.86,-0.09,1.5,-46.1411339460446,-40.67884299736,-0.363058412394919,7604900,1109900,53
1,9.14,0.68,1.9,-45.807209334184,-40.2690492361198,-0.396203308388436,2219900,7739900,54
1,9.08,0.78,0.57,-45.3128220702402,-40.0906410764372,-0.43407949456061,12644900,7199900,55
1,9.15,0.05,0.3,-44.8070628708,-40.1007390756657,-0.466958961867257,3704900,5324900,56
1,10.74,-0.74,1.74,-44.2572566468933,-40.3232571014382,-0.49245074513652,10274900,4244900,57
1,10.55,0.14,0.82,-43.7493210669107,-40.658932071332,-0.523238622306922,12179900,4829900,58
1,10.74,-0.82,1.92,-43.3027721743009,-41.1420471323562,-0.54678326129293,1274900,8129900,59
1,9.95,-0.01,1.38,-42.9049311952486,-41.6669401544433,-0.541806103956504,6824900,12014900,60
1,10.51,0.98,0.62,-42.6332820200576,-42.1611153588164,-0.527634353231837,14474900,2219900,61
1,10.39,0.68,0.89,-42.4297043857612,-42.4742590814619,-0.48951146216802,12929900,8054900,62
1,10.64,0.69,0.91,-42.3257968191922,-42.5171395255338,-0.424615741024757,8159900,10889900,63
1,9.09,-0.36,0.83,-42.3153032161621,-42.2471840013005,-0.352810872911202,9089900,11339900,64
1,9.37,0.25,0.53,-42.3244809738654,-41.7679563730459,-0.288589987315336,4469900,224900,65
1,10.66,-0.17,1.61,-42.3912600167006,-41.1214173031864,-0.225103103845983,8549900,8849900,66
1,10.44,0.68,0.57,-42.4649880427269,-40.476551251783,-0.186196834069455,9209900,5669900,67
1,10.24,-0.99,0.8,-42.567193592931,-39.8955141727934,-0.156571568757419,11189900,2234900,68
1,9.56,-0.61,1.48,-42.5751289520469,-39.4240034945951,-0.14807233245897,7004900,7619900,69
1,9.37,-0.25,0.77,-42.5947702180429,-39.1046815765791,-0.148785181201973,12104900,5579900,70
1,10.87,0.59,0.75,-42.4685832566298,-38.9113602911095,-0.15446876258378,14579900,3914900,71
1,10.49,-0.02,0.01,-42.2906446788895,-38.8669091654593,-0.172855724497038,5174900,959900,72
1,9.35,0.11,1.02,-41.9750491168232,-38.9628806419359,-0.203936618205571,209900,8219900,73
1,10.23,0.41,0.39,-41.6572100818479,-39.2308970561455,-0.248434967910289,8324900,2744900,74
1,9.59,-0.09,1.61,-41.2964892032956,-39.622802383654,-0.295201183730908,8624900,3104900,75
1,10.89,-0.33,0.74,-40.8998403914886,-40.1558337592675,-0.354950663791652,11474900,9209900,76
1,9.81,-0.24,0.1,-40.5431452779373,-40.7960407750416,-0.415804008841914,10079900,11969900,77
1,9.39,0.67,1.52,-40.2609316083807,-41.4977380720019,-0.485676820092625,1139900,10304900,78
1,9.76,-0.7,0.72,-40.0055811442532,-42.2250620824578,-0.544591845012904,11969900,4934900,79
1,9.42,-0.54,0.97,-39.8434011120669,-42.8004521095228,-0.591803956107332,12209900,5999900,80
1,9.62,0.6,1.51,-39.7801793223063,-43.0937655379387,-0.617129108199697,11084900,9689900,81
1,11,0.64,0.65,-39.8006341914239,-43.0659768356782,-0.62854004357471,3029900,2909900,82
1,10.27,-0.06,1.1,-39.9321809173694,-42.7743502406785,-0.610970370941876,1349900,6029900,83
1,9.47,0.67,0.95,-40.2019249667001,-42.2671465501358,-0.592147348495931,15164900,10889900,84
1,10.5,-0.56,1.19,-40.5012023186602,-41.7151278374197,-0.558878850759808,7649900,10349900,85
1,10.15,-0.87,1.42,-40.9426610153275,-41.1782560669124,-0.501737500706025,11969900,9614900,86
1,10.58,0.41,1.94,-41.5365491244589,-40.7520180054487,-0.44688140935108,7454900,2294900,87
1,9.91,-0.1,1.1,-42.2583988484873,-40.4356059416596,-0.384893658171558,1739900,4589900,88
1,10.75,-0.48,0.73,-43.0942975046064,-40.2783454861557,-0.316901787542442,10214900,8744900,89
1,10.34,-0.24,1.19,-43.9875307408225,-40.2765950921399,-0.252688567999999,2159900,7559900,90
1,10.69,0.82,1.15,-44.9541499164484,-40.440937775864,-0.181102509280999,9509900,5009900,91
1,10.21,-0.12,1.09,-45.8330083363884,-40.7645479194582,-0.118690568303677,14519900,14084900,92
1,9.07,0.94,0,-46.3789227503508,-41.3060755019186,-0.0856614234615123,7259900,8909900,93
1,10.41,-0.64,1.39,-46.4555503955417,-41.9398062594598,-0.079363934891331,7529900,2819900,94
